decada,nome_regiao,estado,nome_estado,urbano_rural,grupo_etario,sexid,saldo_migratorio,saldo_migratorio_indireto,populacao_t,populacao_t_10,taxa_liquida_migracao,taxa_liquida_migracao_ind
1960-1970,Sudeste,ES,Espírito Santo,Rural,Total,Homens,-112839.515232662,-31957.536513977,417181,454191,-0.248440667544406,-0.0703614481880465
1960-1970,Sudeste,ES,Espírito Santo,Rural,Total,Mulheres,-121515.879901166,-31099.1863964988,385897,421666,-0.288180407955978,-0.0737531278227289
1960-1970,Sudeste,ES,Espírito Santo,Rural,Total,Total,-234355.395133827,-63056.7229104758,803078,875857,-0.267572668978871,-0.0719943128963698
1960-1970,Sudeste,ES,Espírito Santo,Total,Total,Homens,-7306.4185103922,-8706.21346388066,595468,804191,-0.00908542685803771,-0.0108260518507179
1960-1970,Sudeste,ES,Espírito Santo,Total,Total,Mulheres,-7812.91407469083,-7962.54075577274,575035,792686,-0.00985625338998144,-0.0100450124712342
1960-1970,Sudeste,ES,Espírito Santo,Total,Total,Total,-15119.332585083,-16668.7542196534,1170503,1596877,-0.0094680633418122,-0.0104383457333617
1960-1970,Sudeste,MG,Minas Gerais,Urbano,Total,Homens,442540.343702851,36198.1134048723,1828423,2906359,0.152266235417872,0.0124547977056077
1960-1970,Sudeste,MG,Minas Gerais,Urbano,Total,Mulheres,509167.99570693,41109.9464849864,1992114,3145993,0.161846512597749,0.0130673992233887
1960-1970,Sudeste,MG,Minas Gerais,Urbano,Total,Total,951708.339409781,77308.0598898586,3820537,6052352,0.157246032519222,0.0127732259937721
1960-1970,Sudeste,MG,Minas Gerais,Rural,Total,Homens,-1177087.46797782,-318304.988178483,2999551,2793918,-0.421303512836748,-0.113927820422247
1960-1970,Sudeste,MG,Minas Gerais,Rural,Total,Mulheres,-1227285.91282571,-305709.90367575,2825443,2624901,-0.46755512410781,-0.116465308091905
1960-1970,Sudeste,MG,Minas Gerais,Rural,Total,Total,-2404373.38080353,-624014.891854233,5824994,5418819,-0.443708007372738,-0.115156991192035
1960-1970,Sudeste,MG,Minas Gerais,Total,Total,Homens,-671969.512511997,-204907.254894874,4827974,5700277,-0.117883659427778,-0.0359468943166927
1960-1970,Sudeste,MG,Minas Gerais,Total,Total,Mulheres,-658040.646207452,-189622.286273428,4817557,5770894,-0.114027505306362,-0.0328583900992511
